Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24
Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
51,47,2017-02-05,27-364,BOS,,LAC,W (+5),1,35:40,.601,.472,0.0,6.1,3.0,39.0,2.8,0.0,11.4,32.8,121,106,22.6,8.4
52,48,2017-02-08,28-001,BOS,@,SAC,L (-16),1,33:08,.637,.500,0.0,16.1,7.3,49.9,0.0,0.0,12.8,33.3,122,117,19.5,6.3
53,49,2017-02-09,28-002,BOS,@,POR,W (+9),1,38:09,.551,.462,0.0,3.2,1.5,16.7,1.3,0.0,6.1,37.3,119,122,21.5,1.5
54,50,2017-02-11,28-004,BOS,@,UTA,W (+8),1,35:13,.726,.688,0.0,5.8,3.6,22.9,0.0,0.0,13.1,32.2,132,120,20.9,4.7
55,51,2017-02-13,28-006,BOS,@,DAL,W (+13),1,34:12,.632,.579,0.0,3.7,1.8,41.0,0.0,0.0,4.2,33.3,134,110,22.6,7.8
56,52,2017-02-15,28-008,BOS,,PHI,W (+8),1,33:57,.667,.579,3.4,9.4,6.6,16.8,0.0,0.0,13.9,34.5,119,107,21.0,2.1
57,53,2017-02-16,28-009,BOS,@,CHI,L (-1),1,34:12,.660,.556,0.0,10.0,5.1,39.7,0.0,0.0,12.0,37.7,124,124,21.2,5.7
58,54,2017-02-24,28-017,BOS,@,TOR,L (-10),1,35:08,.509,.441,3.6,7.0,5.3,27.5,0.0,0.0,13.3,31.3,101,124,10.7,-3.0
59,55,2017-02-26,28-019,BOS,@,DET,W (+6),1,34:50,.612,.543,0.0,5.1,2.8,20.4,4.1,0.0,6.9,35.6,118,95,23.0,12.6
60,56,2017-02-27,28-020,BOS,,ATL,L (-16),1,30:24,.374,.214,6.2,17.9,11.6,39.9,0.0,2.3,21.6,44.1,75,114,7.0,-9.0
61,57,2017-03-01,28-022,BOS,,CLE,W (+4),1,34:36,.613,.575,3.7,2.7,3.2,31.3,3.0,2.4,13.7,40.6,112,106,21.8,7.9
62,58,2017-03-03,28-024,BOS,@,LAL,W (+20),1,25:43,.592,.500,0.0,8.1,4.7,47.0,0.0,0.0,11.6,28.4,122,98,15.1,4.1
63,59,2017-03-05,28-026,BOS,@,PHO,L (-3),1,32:29,.586,.500,0.0,5.9,2.8,42.9,2.9,0.0,3.2,39.8,126,107,24.6,13.7
64,60,2017-03-06,28-027,BOS,@,LAC,L (-14),1,34:47,.697,.632,0.0,7.3,3.3,34.2,4.3,0.0,11.6,33.6,125,116,24.8,13.4
65,61,2017-03-08,28-029,BOS,@,GSW,W (+13),1,34:22,.542,.450,0.0,0.0,0.0,15.4,4.5,0.0,11.5,34.9,101,94,14.7,3.8
66,62,2017-03-10,28-031,BOS,@,DEN,L (-20),1,33:55,.631,.536,0.0,7.9,3.4,29.4,0.0,0.0,10.7,24.2,124,127,14.1,-1.0
67,63,2017-03-12,28-033,BOS,,CHI,W (+20),1,24:18,.786,.786,0.0,3.9,2.2,17.8,6.3,0.0,12.5,29.1,134,84,18.5,19.3
68,64,2017-03-15,28-036,BOS,,MIN,W (+13),1,31:54,.747,.667,0.0,9.6,5.7,19.4,1.7,0.0,10.0,30.8,135,115,21.6,6.4
69,,2017-03-17,28-038,BOS,@,BRK,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
70,,2017-03-19,28-040,BOS,@,PHI,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
71,65,2017-03-20,28-041,BOS,,WAS,W (+8),1,34:42,.524,.421,2.8,9.9,6.0,18.3,1.4,0.0,11.2,31.4,114,106,14.9,0.9
72,66,2017-03-22,28-043,BOS,,IND,W (+9),1,33:22,.560,.524,0.0,0.0,0.0,23.9,1.6,2.4,8.2,33.0,115,114,15.5,3.8
